,date,temp,precipitation,windspeed
0,1950-01-01,,7.02,
1,1950-02-01,,4.646,
2,1950-03-01,,4.268,
3,1950-04-01,,5.909,
4,1950-05-01,,3.217,
5,1950-06-01,,3.772,
6,1950-07-01,,5.157,
7,1950-08-01,,1.811,
8,1950-09-01,,3.839,
9,1950-10-01,,1.728,
10,1950-11-01,,6.449,
11,1950-12-01,,2.606,
12,1951-01-01,,3.724,
13,1951-02-01,,3.795,
14,1951-03-01,,4.807,
15,1951-04-01,,2.693,
16,1951-05-01,,2.602,
17,1951-06-01,,3.248,
18,1951-07-01,,3.469,
19,1951-08-01,,2.429,
20,1951-09-01,,4.492,
21,1951-10-01,,1.531,
22,1951-11-01,,5.85,
23,1951-12-01,,5.602,
24,1952-01-01,,5.024,
25,1952-02-01,,2.193,
26,1952-03-01,,3.287,
27,1952-04-01,,3.815,
28,1952-05-01,,2.74,
29,1952-06-01,,1.48,
30,1952-07-01,,1.232,
31,1952-08-01,,1.984,
32,1952-09-01,,3.028,
33,1952-10-01,,0.61,
34,1952-11-01,,2.496,
35,1952-12-01,,2.701,
36,1953-01-01,,4.035,
37,1953-02-01,,1.224,
38,1953-03-01,,2.055,
39,1953-04-01,,2.827,
40,1953-05-01,,4.004,
41,1953-06-01,,3.307,
42,1953-07-01,,3.083,
43,1953-08-01,,3.866,
44,1953-09-01,,1.571,
45,1953-10-01,,1.287,
46,1953-11-01,,2.327,
47,1953-12-01,,2.626,
48,1954-01-01,,3.122,
49,1954-02-01,,2.89,
50,1954-03-01,,6.079,
51,1954-04-01,,5.366,
52,1954-05-01,,1.047,
53,1954-06-01,,1.386,
54,1954-07-01,,1.492,
55,1954-08-01,,3.157,
56,1954-09-01,,1.984,
57,1954-10-01,,9.488,
58,1954-11-01,,1.343,
59,1954-12-01,,2.335,
60,1955-01-01,,2.228,
61,1955-02-01,,2.693,
62,1955-03-01,,5.587,
63,1955-04-01,,3.724,
64,1955-05-01,,5.008,
65,1955-06-01,,2.681,
66,1955-07-01,,2.508,
67,1955-08-01,,3.819,
68,1955-09-01,,1.61,
69,1955-10-01,,5.886,
70,1955-11-01,,2.874,
71,1955-12-01,,0.969,
72,1956-01-01,,2.76,
73,1956-02-01,,3.224,
74,1956-03-01,,4.61,
75,1956-04-01,,3.614,
76,1956-05-01,,5.488,
77,1956-06-01,,4.142,
78,1956-07-01,,3.748,
79,1956-08-01,,5.146,
80,1956-09-01,,1.559,
81,1956-10-01,,0.854,
82,1956-11-01,,1.15,
83,1956-12-01,,2.713,
84,1957-01-01,,2.035,
85,1957-02-01,,1.406,
86,1957-03-01,,1.508,
87,1957-04-01,,5.787,
88,1957-05-01,,4.602,
89,1957-06-01,,5.846,
90,1957-07-01,,3.252,
91,1957-08-01,,2.311,
92,1957-09-01,,2.622,
93,1957-10-01,,2.638,
94,1957-11-01,,2.268,
95,1957-12-01,,3.382,
96,1958-01-01,,1.492,
97,1958-02-01,,0.969,
98,1958-03-01,,0.783,
99,1958-04-01,,3.311,
100,1958-05-01,,2.138,
101,1958-06-01,,4.669,
102,1958-07-01,,4.819,
103,1958-08-01,,3.98,
104,1958-09-01,,3.626,
105,1958-10-01,,1.63,
106,1958-11-01,,4.76,
107,1958-12-01,,0.713,
108,1959-01-01,,4.622,
109,1959-02-01,,4.236,
110,1959-03-01,,2.142,
111,1959-04-01,,4.701,
112,1959-05-01,,4.713,
113,1959-06-01,,1.823,
114,1959-07-01,,4.323,
115,1959-08-01,,1.858,
116,1959-09-01,,3.075,
117,1959-10-01,,3.567,
118,1959-11-01,,2.961,
119,1959-12-01,,2.398,
120,1960-01-01,,2.339,
121,1960-02-01,,1.874,
122,1960-03-01,,2.063,
123,1960-04-01,,2.783,
124,1960-05-01,,3.563,
125,1960-06-01,,3.008,
126,1960-07-01,,3.331,
127,1960-08-01,,6.953,
128,1960-09-01,,1.843,
129,1960-10-01,,1.02,
130,1960-11-01,,2.079,
131,1960-12-01,,1.091,
132,1961-01-01,,0.366,
133,1961-02-01,,3.232,
134,1961-03-01,,3.205,
135,1961-04-01,,6.61,
136,1961-05-01,,1.311,
137,1961-06-01,,2.949,
138,1961-07-01,,4.303,
139,1961-08-01,,4.276,
140,1961-09-01,,2.358,
141,1961-10-01,,2.154,
142,1961-11-01,,2.78,
143,1961-12-01,,1.843,
144,1962-01-01,,2.831,
145,1962-02-01,,1.858,
146,1962-03-01,,1.732,
147,1962-04-01,,1.78,
148,1962-05-01,,1.913,
149,1962-06-01,,2.949,
150,1962-07-01,,3.425,
151,1962-08-01,,1.303,
152,1962-09-01,,4.394,
153,1962-10-01,,3.598,
154,1962-11-01,,2.772,
155,1962-12-01,,3.055,
156,1963-01-01,,1.063,
157,1963-02-01,,0.732,
158,1963-03-01,,2.839,
159,1963-04-01,,2.409,
160,1963-05-01,,1.0,
161,1963-06-01,,1.937,
162,1963-07-01,,1.886,
163,1963-08-01,,1.705,
164,1963-09-01,,1.996,
165,1963-10-01,,0.709,
166,1963-11-01,,1.339,
167,1963-12-01,,1.055,
168,1964-01-01,,1.465,
169,1964-02-01,,1.5,
170,1964-03-01,,5.213,
171,1964-04-01,,4.874,
172,1964-05-01,,3.016,
173,1964-06-01,,2.063,
174,1964-07-01,,3.37,
175,1964-08-01,,3.823,
176,1964-09-01,,0.74,
177,1964-10-01,,1.791,
178,1964-11-01,,0.929,
179,1964-12-01,,2.673,
180,1965-01-01,,4.457,
181,1965-02-01,,3.004,
182,1965-03-01,,1.657,
183,1965-04-01,,1.839,
184,1965-05-01,,2.295,
185,1965-06-01,,3.055,
186,1965-07-01,,3.012,
187,1965-08-01,,3.579,
188,1965-09-01,,2.524,
189,1965-10-01,,2.547,
190,1965-11-01,,1.89,
191,1965-12-01,,2.079,
192,1966-01-01,,1.531,
193,1966-02-01,,2.323,
194,1966-03-01,,2.26,
195,1966-04-01,,3.606,
196,1966-05-01,,2.209,
197,1966-06-01,,1.827,
198,1966-07-01,,3.89,
199,1966-08-01,,3.484,
200,1966-09-01,,1.669,
201,1966-10-01,,1.185,
202,1966-11-01,,5.165,
203,1966-12-01,,2.839,
204,1967-01-01,,0.98,
205,1967-02-01,,2.362,
206,1967-03-01,,2.083,
207,1967-04-01,,3.126,
208,1967-05-01,,3.819,
209,1967-06-01,,1.173,
210,1967-07-01,,1.906,
211,1967-08-01,,1.85,
212,1967-09-01,,2.075,
213,1967-10-01,,2.118,
214,1967-11-01,,2.882,
215,1967-12-01,,2.469,
216,1968-01-01,,3.276,
217,1968-02-01,,0.795,
218,1968-03-01,,2.075,
