,date,temp,precipitation,windspeed,tmax,tmin,month
0,1950-01-01,36.3,7.02,12.6,45.9,27.7,1
1,1950-02-01,27.9,4.646,11.7,36.5,21.9,2
2,1950-03-01,30.6,4.268,13.5,41.5,24.4,3
3,1950-04-01,41.0,5.909,13.5,52.0,33.8,4
4,1950-05-01,58.5,3.217,10.2,72.7,48.6,5
5,1950-06-01,65.7,3.772,10.2,79.3,57.0,6
6,1950-07-01,68.4,5.157,8.0,82.0,59.9,7
7,1950-08-01,67.8,1.811,6.9,82.0,59.2,8
8,1950-09-01,60.3,3.839,7.8,74.3,54.7,9
9,1950-10-01,53.6,1.728,8.0,67.6,47.7,10
10,1950-11-01,36.0,6.449,12.5,45.0,29.8,11
11,1950-12-01,24.4,2.606,10.4,32.2,18.1,12
12,1951-01-01,28.6,3.724,11.7,36.3,23.5,1
13,1951-02-01,28.2,3.795,11.2,37.8,22.1,2
14,1951-03-01,35.8,4.807,11.9,46.6,29.7,3
15,1951-04-01,45.1,2.693,10.9,56.7,36.9,4
16,1951-05-01,59.0,2.602,9.1,72.7,48.9,5
17,1951-06-01,66.9,3.248,7.8,79.9,58.1,6
18,1951-07-01,70.5,3.469,7.3,84.9,62.2,7
19,1951-08-01,67.6,2.429,6.5,81.9,58.8,8
20,1951-09-01,60.6,4.492,8.5,73.9,52.0,9
21,1951-10-01,54.1,1.531,8.7,68.5,47.1,10
22,1951-11-01,34.2,5.85,11.7,42.8,28.4,11
23,1951-12-01,29.7,5.602,12.4,38.1,22.6,12
24,1952-01-01,27.0859375,5.024,11.6,39.7,24.6,1
25,1952-02-01,30.2,2.193,10.3,39.0,25.3,2
26,1952-03-01,34.2,3.287,11.4,44.6,28.8,3
27,1952-04-01,48.6,3.815,10.9,60.3,39.9,4
28,1952-05-01,55.2,2.74,9.5,68.2,47.7,5
29,1952-06-01,69.8,1.48,8.1,84.9,61.5,6
30,1952-07-01,73.4,1.232,7.7,88.5,64.2,7
31,1952-08-01,68.5,1.984,6.6,83.5,60.6,8
32,1952-09-01,62.4,3.028,7.1,77.5,53.6,9
33,1952-10-01,46.0,0.61,9.6,59.9,38.5,10
34,1952-11-01,42.1,2.496,10.6,52.3,35.6,11
35,1952-12-01,32.7,2.701,10.9,40.3,29.5,12
36,1953-01-01,32.5,4.035,10.9,40.5,26.6,1
37,1953-02-01,31.5,1.224,12.3,41.9,25.3,2
38,1953-03-01,37.4,2.055,11.5,48.0,32.2,3
39,1953-04-01,43.9,2.827,11.4,54.0,37.0,4
40,1953-05-01,59.7,4.004,8.6,72.9,50.9,5
41,1953-06-01,68.2,3.307,8.0,83.3,59.5,6
42,1953-07-01,70.9,3.083,6.4,86.0,62.6,7
43,1953-08-01,70.2,3.866,6.4,86.0,61.0,8
44,1953-09-01,62.8,1.571,8.3,77.9,53.2,9
45,1953-10-01,53.6,1.287,8.0,70.2,44.6,10
46,1953-11-01,42.8,2.327,10.0,52.5,37.8,11
47,1953-12-01,32.7,2.626,13.1,41.5,26.6,12
48,1954-01-01,27.0,3.122,11.5,36.3,20.5,1
49,1954-02-01,33.8,2.89,11.4,44.2,28.4,2
50,1954-03-01,33.3,6.079,12.6,43.5,26.6,3
51,1954-04-01,52.0,5.366,10.6,65.5,43.5,4
52,1954-05-01,54.7,1.047,8.9,68.0,46.8,5
53,1954-06-01,68.2,1.386,8.6,82.9,61.2,6
54,1954-07-01,70.5,1.492,7.6,85.8,60.3,7
55,1954-08-01,67.5,3.157,7.5,81.3,61.2,8
56,1954-09-01,64.0,1.984,8.6,77.7,57.9,9
57,1954-10-01,53.8,9.488,10.7,64.4,47.8,10
58,1954-11-01,39.9,1.343,12.5,50.0,35.2,11
59,1954-12-01,29.7,2.335,13.7,37.6,26.4,12
60,1955-01-01,24.6,2.228,11.3,33.3,20.7,1
61,1955-02-01,28.8,2.693,9.8,38.1,23.5,2
62,1955-03-01,36.9,5.587,,48.6,28.4,3
63,1955-04-01,53.4,3.724,10.9,67.1,44.8,4
64,1955-05-01,60.3,5.008,9.3,73.8,51.6,5
65,1955-06-01,64.9,2.681,6.8,79.3,56.5,6
66,1955-07-01,75.2,2.508,6.5,90.0,68.4,7
67,1955-08-01,72.7,3.819,7.5,85.6,66.4,8
68,1955-09-01,63.5,1.61,7.5,78.3,56.1,9
69,1955-10-01,52.3,5.886,9.6,64.4,45.1,10
70,1955-11-01,36.9,2.874,12.2,46.8,30.6,11
71,1955-12-01,27.0,0.969,10.9,34.5,22.1,12
72,1956-01-01,25.3,2.76,10.1,33.1,22.1,1
73,1956-02-01,29.8,3.224,10.8,38.3,24.3,2
74,1956-03-01,33.4,4.61,11.6,44.2,27.7,3
75,1956-04-01,44.6,3.614,10.8,55.0,36.7,4
76,1956-05-01,55.2,5.488,11.5,68.0,47.7,5
77,1956-06-01,66.2,4.142,9.3,78.6,58.6,6
78,1956-07-01,68.9,3.748,9.6,80.2,63.1,7
79,1956-08-01,68.5,5.146,9.8,80.4,63.0,8
80,1956-09-01,58.6,1.559,9.9,71.1,51.3,9
81,1956-10-01,54.5,0.854,10.4,69.1,48.2,10
82,1956-11-01,40.6,1.15,12.9,51.4,34.0,11
83,1956-12-01,36.5,2.713,12.5,44.6,31.5,12
84,1957-01-01,22.3,2.035,11.8,29.5,16.5,1
85,1957-02-01,31.5,1.406,10.9,39.9,26.1,2
86,1957-03-01,36.5,1.508,11.9,45.7,30.6,3
87,1957-04-01,49.1,5.787,11.2,59.2,42.3,4
