,date,tavg,tmin,tmax,prcp,wspd,pres,tsun
0,1950-01-01,36.3,27.7,45.9,7.02,12.6,1021.5,
1,1950-02-01,27.9,21.9,36.5,4.646,11.7,1019.8,
2,1950-03-01,30.6,24.4,41.5,4.268,13.5,1015.6,
3,1950-04-01,41.0,33.8,52.0,5.909,13.5,1016.2,
4,1950-05-01,58.5,48.6,72.7,3.217,10.2,1015.7,
5,1950-06-01,65.7,57.0,79.3,3.772,10.2,1015.0,
6,1950-07-01,68.4,59.9,82.0,5.157,8.0,1016.9,
7,1950-08-01,67.8,59.2,82.0,1.811,6.9,1017.2,
8,1950-09-01,60.3,54.7,74.3,3.839,7.8,1018.4,
9,1950-10-01,53.6,47.7,67.6,1.728,8.0,1018.0,
10,1950-11-01,36.0,29.8,45.0,6.449,12.5,1014.2,
11,1950-12-01,24.4,18.1,32.2,2.606,10.4,1017.3,
12,1951-01-01,28.6,23.5,36.3,3.724,11.7,1018.2,
13,1951-02-01,28.2,22.1,37.8,3.795,11.2,1022.3,
14,1951-03-01,35.8,29.7,46.6,4.807,11.9,1015.7,
15,1951-04-01,45.1,36.9,56.7,2.693,10.9,1012.6,
16,1951-05-01,59.0,48.9,72.7,2.602,9.1,,
17,1951-06-01,66.9,58.1,79.9,3.248,7.8,1014.2,
18,1951-07-01,70.5,62.2,84.9,3.469,7.3,1016.0,
19,1951-08-01,67.6,58.8,81.9,2.429,6.5,1016.5,
20,1951-09-01,60.6,52.0,73.9,4.492,8.5,1017.7,
21,1951-10-01,54.1,47.1,68.5,1.531,8.7,1019.7,
22,1951-11-01,34.2,28.4,42.8,5.85,11.7,1019.1,
23,1951-12-01,29.7,22.6,38.1,5.602,12.4,1017.8,
24,1952-01-01,,24.6,39.7,5.024,11.6,1019.0,
25,1952-02-01,30.2,25.3,39.0,2.193,10.3,1015.2,
26,1952-03-01,34.2,28.8,44.6,3.287,11.4,1015.2,
27,1952-04-01,48.6,39.9,60.3,3.815,10.9,1015.1,
28,1952-05-01,55.2,47.7,68.2,2.74,9.5,1013.3,
29,1952-06-01,69.8,61.5,84.9,1.48,8.1,1014.2,
30,1952-07-01,73.4,64.2,88.5,1.232,7.7,1019.0,
